ID,category,amount,gender,zip,lat,long,city_pop,job,merch_lat,merch_long,is_fraud
1,kids_pets,43.17,M,31042,32.8088,-83.174,1841,Film/video editor,32.354787,-84.081335,0
2,food_dining,60.05,M,64659,39.7795,-93.3014,964,Tourist information centre manager,39.986066,-93.931767,0
3,shopping_net,4.72,M,16314,41.5205,-80.0573,5507,Retail merchandiser,42.337299,-79.533712,0
4,shopping_net,6.84,F,13615,44.0577,-76.0196,1271,"Producer, radio",43.546296,-76.541295,0
5,food_dining,87.88,F,72011,34.5091,-92.4828,4074,"Scientist, audiological",35.051319,-91.791157,0
6,entertainment,499.09,F,75703,32.2768,-95.3031,144160,Sports development officer,31.530652,-95.518774,1
7,grocery_pos,89.22,M,84532,38.5677,-109.5271,9772,Location manager,38.183005,-108.805813,0
8,kids_pets,11.15,M,20895,39.0298,-77.0793,19054,Operations geologist,39.136463,-76.09761,0
9,home,31.83,F,97441,43.7857,-124.1437,260,"Engineer, maintenance",44.290716,-124.176944,0
10,grocery_pos,113.24,F,40170,37.9048,-86.524,344,Chartered public finance accountant,37.286985,-86.093645,0
11,home,118.41,F,76834,31.8287,-99.427,5908,Radio producer,32.618597,-99.32585,0
12,home,85.09,F,36749,32.5104,-86.8138,1089,Materials engineer,31.769391,-87.495772,0
13,grocery_net,40.54,M,75048,32.9643,-96.6012,20328,Site engineer,33.016453,-96.459655,0
14,grocery_pos,96.54,M,35803,34.6205,-86.551,190178,"Engineer, automotive",34.198944,-87.19517,0
15,grocery_pos,85.44,F,57426,45.7205,-98.5534,63,Systems developer,45.894141,-98.704361,0
16,gas_transport,58.16,M,53120,42.8035,-88.4092,9679,"Engineer, production",42.812399,-87.982932,0
17,food_dining,70.92,M,89512,39.5483,-119.7957,276896,Immunologist,39.89221,-120.493097,0
18,health_fitness,31.08,F,44233,41.2419,-81.7453,7646,Medical sales representative,41.715251,-82.417387,0
19,kids_pets,44.17,M,48850,43.4269,-85.2924,4474,Emergency planning/management officer,42.843326,-85.209664,0
20,gas_transport,49.43,F,36758,32.6176,-86.9475,1412,Drilling engineer,33.559449,-86.737346,0
21,entertainment,13.71,M,70056,29.8872,-90.0331,55581,Biomedical scientist,29.117183,-89.777433,0
22,shopping_net,228.99,F,46946,41.0356,-85.7358,136,Soil scientist,41.230023,-86.510247,0
23,shopping_pos,4.66,F,13755,42.0716,-75.0152,1228,"Psychotherapist, child",41.754706,-75.403711,0
24,kids_pets,46.81,M,15324,40.1008,-80.0652,632,Dealer,39.83863,-80.566102,0
25,grocery_pos,81.57,F,68031,41.6414,-96.5232,1745,"Engineer, automotive",41.321338,-96.105669,0
26,entertainment,60.22,F,2630,41.6983,-70.3001,1850,Counselling psychologist,42.120754,-70.752413,0
27,misc_pos,7.87,F,72513,36.2201,-91.6421,2856,Hydrologist,35.849341,-91.970397,0
28,misc_pos,1.34,F,34112,26.1184,-81.7361,276002,"Pilot, airline",25.126854,-81.806838,0
29,gas_transport,53.34,F,29939,32.6786,-81.2455,302,Magazine features editor,32.421801,-81.280031,0
30,home,42.34,M,24927,38.388,-79.9906,365,Special effects artist,38.240675,-80.971068,0
31,entertainment,89.1,M,78214,29.3641,-98.4924,1595797,Land,28.800183,-98.873047,0
32,grocery_pos,142.28,F,98304,46.7531,-121.9898,759,Video editor,47.379393,-122.963838,0
33,personal_care,107.62,M,13484,42.8546,-75.6605,176,Science writer,43.005236,-75.747248,0
34,travel,468.21,M,31567,31.6143,-82.7243,782,Audiological scientist,32.317904,-82.542398,0
35,health_fitness,167.39,M,59714,45.7801,-111.1439,18182,"Engineer, drilling",45.251003,-110.497499,0
36,misc_net,9.04,M,78214,29.3641,-98.4924,1595797,Land,29.854068,-98.081074,0
37,health_fitness,54.93,M,83120,43.0172,-111.0292,471,"Education officer, museum",42.399982,-112.017428,0
38,personal_care,57.97,M,89319,39.3426,-114.8859,450,Interpreter,40.088542,-114.955155,0
39,personal_care,135.84,F,31046,33.1194,-83.8235,3343,Theatre manager,33.037461,-84.481073,0
40,grocery_pos,114.23,F,43160,39.537,-83.455,22305,Television floor manager,39.55377,-83.585815,0
41,grocery_pos,106.22,M,23303,37.9073,-75.5089,741,"Geologist, engineering",38.743963,-76.051807,0
42,misc_pos,171.02,M,40077,38.4921,-85.4524,564,Pensions consultant,37.963221,-84.453098,0
43,health_fitness,116.75,M,97132,45.3099,-122.9685,28278,Research scientist (physical sciences),45.458223,-123.780691,0
44,food_dining,278.17,F,62856,37.9943,-88.9417,324,"Scientist, research (physical sciences)",38.65096,-88.217284,0
45,shopping_pos,2.34,M,94569,38.046,-122.1866,198,Armed forces training and education officer,37.271997,-123.173249,0
46,entertainment,93.01,F,70732,30.6576,-91.6264,1178,Community education officer,31.295233,-91.977796,0
47,personal_care,61.39,F,38079,36.3846,-89.4649,5577,Geochemist,36.778445,-89.347194,0
48,entertainment,85.62,F,60958,41.0646,-87.5917,2135,"Psychotherapist, child",40.891851,-88.498876,0
49,personal_care,173.7,F,17058,40.5553,-77.4001,1909,Mining engineer,39.914278,-78.252455,0
50,food_dining,18.44,F,94971,38.2427,-122.9145,337,Occupational psychologist,38.245854,-122.693571,0
51,grocery_net,63.65,F,27522,36.1124,-78.6476,12335,Chief Strategy Officer,35.7503,-78.400312,0
52,personal_care,3.04,M,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",37.529686,-78.923222,0
53,food_dining,9.19,F,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",35.713642,-105.677251,0
54,food_dining,15.83,F,25106,38.8265,-82.1364,642,Building services engineer,38.404896,-81.688763,0
55,home,73.39,M,62571,39.39,-88.9597,1532,Radio broadcast assistant,40.197586,-88.915988,0
